emp_no,first_name,last_name,dept_no,dept_name
11275,Hitomi,Eppinger,d005,Development
11290,Visit,Dredge,d005,Development
11291,Gino,Glowinski,d005,Development
11295,Abdelkader,Lanzelotte,d002,Finance
11319,Pranas,Marrakchi,d005,Development
11320,Atilio,McAlpine,d001,Marketing
11322,Nathalie,Pocchiola,d006,Quality Management
11324,Kauko,Billingsley,d004,Production
11338,Kwangsub,Hanratty,d007,Sales
11339,Flemming,Massonet,d004,Production
11347,Anneli,Jonsson,d005,Development
11365,Toshimi,Shinomoto,d004,Production
11376,Valery,Suomi,d008,Research
11380,Kenroku,Pelc,d005,Development
11385,Shiv,Ullian,d004,Production
11386,Alselm,Assaf,d006,Quality Management
11393,Junsik,Junot,d004,Production
11398,Oscar,Peir,d002,Finance
11404,Bedrich,Borovoy,d005,Development
11415,Sanjiv,Anido,d004,Production
11421,Josyula,Msuda,d004,Production
11431,Youngkon,Picht,d003,Human Resources
11441,Marlo,Aingworth,d007,Sales
11449,Kotesh,Asser,d004,Production
11459,Duke,Suomi,d003,Human Resources
11461,Kish,Cronau,d004,Production
11469,Guttorm,Giaccio,d004,Production
11477,Fox,Narahari,d004,Production
11501,Karsten,Ranum,d001,Marketing
11506,Rance,Picel,d007,Sales
11509,Aleksander,Feldhoffer,d005,Development
11513,Otmar,Mahnke,d002,Finance
11515,Ulf,Basawa,d007,Sales
11518,Jinxi,Oxman,d003,Human Resources
11524,Xiadong,Standera,d005,Development
11527,Alagu,Boyle,d001,Marketing
11528,Zito,Dolinsky,d004,Production
11537,DAIDA,Pehl,d007,Sales
11554,Subhash,Taubenfeld,d001,Marketing
11554,Subhash,Taubenfeld,d003,Human Resources
11555,Kotesh,Perfilyeva,d003,Human Resources
11562,Rimli,Alencar,d004,Production
11567,Teiji,Mitzlaff,d007,Sales
11568,Martins,Fujisaki,d005,Development
11578,Edwin,Rosti,d004,Production
11588,Kaijung,Panangaden,d003,Human Resources
11603,Herb,Swen,d002,Finance
11607,Tomokazu,Foong,d004,Production
11615,Shem,Isaak,d007,Sales
11624,Adil,Gammage,d004,Production
11628,Fan,Malinowski,d005,Development
11628,Fan,Malinowski,d008,Research
11640,Valeri,Coorg,d005,Development
11647,Magy,Nitsche,d005,Development
11660,Gill,Stenning,d007,Sales
11673,Henk,Felder,d004,Production
11676,Valeri,Ferriere,d004,Production
11681,Fumitake,Benzmuller,d004,Production
11684,Oksana,Gide,d001,Marketing
11696,Dante,Rothe,d007,Sales
11705,Arve,Hofmeyr,d002,Finance
11705,Arve,Hofmeyr,d003,Human Resources
11732,Sanjoy,Ranft,d004,Production
11732,Sanjoy,Ranft,d009,Customer Service
11735,Amalendu,Picci,d009,Customer Service
11738,Tadahiro,Lichtman,d004,Production
11746,Koichi,Marrakchi,d007,Sales
11747,Aksel,Kossowski,d007,Sales
11751,Jiafu,Emiris,d008,Research
11764,Sanjay,Anick,d004,Production
11769,Chandrasekaran,Lampe,d005,Development
11769,Chandrasekaran,Lampe,d008,Research
11772,Gaurav,Penz,d005,Development
11797,Chenxi,Thambidurai,d001,Marketing
11797,Chenxi,Thambidurai,d007,Sales
11805,Rosine,Grandbois,d005,Development
11810,Amabile,Bhattacharjee,d005,Development
11813,Gita,Muhlberg,d007,Sales
11817,Niranjan,Markovitch,d007,Sales
11832,Arto,Zlotek,d005,Development
11838,Taiji,Nitta,d007,Sales
11844,Shawna,Demeyer,d005,Development
11853,Zeljko,Kusakabe,d001,Marketing
11857,Divier,Farrag,d007,Sales
11864,Pradeep,Kriebel,d009,Customer Service
11871,Nalini,Sommen,d005,Development
11872,Cheong,Riexinger,d001,Marketing
11883,Nectarios,Bhattacharjee,d006,Quality Management
11894,Mitchel,Validov,d005,Development
11897,Cordelia,Setlzner,d007,Sales
11906,Hideo,Boguraev,d005,Development
11915,Miomir,Mawatari,d004,Production
11931,Gunilla,Chiodo,d008,Research
11933,Basil,Erman,d005,Development
11949,Martijn,Harbusch,d004,Production
11983,Jaana,Hedayat,d005,Development
11987,Vidya,Schaar,d004,Production
11987,Vidya,Schaar,d009,Customer Service
11988,Chinya,Chinin,d005,Development
11993,Marit,Dalphin,d003,Human Resources
12011,Zhilian,Coorg,d007,Sales
12025,Jaewoo,Heiserman,d001,Marketing
12033,Visit,Serot,d005,Development
12036,Mads,Ratzlaff,d001,Marketing
12036,Mads,Ratzlaff,d007,Sales
12037,Arunas,Katzenelson,d009,Customer Service
12050,Yuchang,Tchuente,d004,Production
12052,Masako,Khasidashvili,d005,Development
12062,Margareta,Worfolk,d003,Human Resources
12069,Ayonca,Burnard,d005,Development
12070,Ger,Shokrollahi,d005,Development
12076,Karlis,Siprelle,d007,Sales
12082,Xinan,Yamaashi,d007,Sales
12087,Weijing,Jumpertz,d005,Development
12089,Bilhanan,Socorro,d003,Human Resources
12099,Nobuyoshi,Kuzuoka,d007,Sales
12103,Becky,Erie,d009,Customer Service
12112,Satyanarayana,Avouris,d002,Finance
12122,Satoru,Krone,d004,Production
12123,Xiahua,Syrzycki,d008,Research
12125,Shounak,Erman,d004,Production
12125,Shounak,Erman,d005,Development
12128,Yannik,Barreiro,d007,Sales
12149,Suebskul,Grandbois,d007,Sales
12159,Shem,Perly,d005,Development
12165,Xiaobin,Maquelin,d005,Development
12173,Adel,Nanard,d004,Production
12183,Harngdar,Iisaku,d006,Quality Management
12192,Feiyu,Klyachko,d006,Quality Management
12205,Sushant,Rossi,d005,Development
12206,Barton,Janetzko,d005,Development
12218,Yaghout,Strooper,d006,Quality Management
12221,Vincent,Melter,d005,Development
12222,Abdelwaheb,Holburn,d002,Finance
12223,Niteen,Koyama,d004,Production
12247,Subbu,Penttonen,d005,Development
12249,Eldridge,Sadowski,d005,Development
12254,Chaitali,Stafford,d004,Production
12256,Guadalupe,Reghbati,d003,Human Resources
12264,Mart,Pagter,d005,Development
12270,Shakhar,Kornyak,d008,Research
12272,Behnaam,Grandbois,d003,Human Resources
12274,Garnik,Papadias,d005,Development
12276,Yongmin,Lenart,d005,Development
12303,Godehard,Braccini,d008,Research
12308,Mototsugu,Cronau,d002,Finance
12308,Mototsugu,Cronau,d003,Human Resources
12311,Susanne,Lubachevsky,d005,Development
12312,Chenye,Velasco,d004,Production
12327,DAIDA,Bruckman,d005,Development
12335,Arnould,Genin,d003,Human Resources
12341,Rasiah,Luga,d005,Development
12343,Sorina,Slaats,d004,Production
12343,Sorina,Slaats,d009,Customer Service
12365,Kamakshi,Bisiani,d004,Production
12373,Mooi,Driscoll,d007,Sales
12395,Sanjit,Felder,d002,Finance
12399,Mihalis,Luga,d007,Sales
12411,Shao,Ibel,d007,Sales
12413,Hugh,Gadepally,d004,Production
12415,Uri,Sluis,d007,Sales
12417,Dannz,Spelt,d004,Production
12422,Berhard,Demos,d003,Human Resources
12451,Pramod,Marzano,d005,Development
12454,Kerryn,Farris,d007,Sales
12464,Shai,Milicic,d007,Sales
12475,Filipe,Roison,d005,Development
12478,Yahiko,Hopewell,d001,Marketing
12478,Yahiko,Hopewell,d007,Sales
12487,Mona,Reghbati,d002,Finance
12487,Mona,Reghbati,d003,Human Resources
12489,Arnould,Munck,d005,Development
12490,Jackson,Muchinsky,d005,Development
12493,Filipp,Menhardt,d005,Development
12497,Stein,Penz,d007,Sales
12501,Morrie,Matheson,d002,Finance
12504,Adly,Rosaz,d004,Production
12514,Tomofumi,Melter,d005,Development
12528,Conor,Cincotta,d009,Customer Service
12534,Yongmao,Gerlach,d004,Production
12541,Shih,Nanard,d007,Sales
12542,Kazuhide,Bouloucos,d003,Human Resources
12551,Jeane,Tzvieli,d004,Production
12553,Aral,Vesna,d003,Human Resources
12557,Stafford,Kopetz,d004,Production
12557,Stafford,Kopetz,d006,Quality Management
12589,Anoosh,Chleq,d005,Development
12596,Breannda,Roisin,d003,Human Resources
12601,Ghassan,Simkin,d005,Development
12608,Nectarios,Mondadori,d003,Human Resources
12635,Xinyu,Restivo,d004,Production
12635,Xinyu,Restivo,d009,Customer Service
12637,Poorav,Karner,d003,Human Resources
12638,Yuqun,Seiwald,d005,Development
12642,Suebskul,Gips,d001,Marketing
12651,Pragnesh,Bael,d007,Sales
12662,Leucio,Alvarado,d005,Development
12663,Nobuyoshi,Stellhorn,d005,Development
12664,Zhonghua,Parveen,d007,Sales
12664,Zhonghua,Parveen,d009,Customer Service
12678,Carrsten,Borovoy,d005,Development
12689,Luerbio,Boudaillier,d005,Development
12691,Oddvar,Gils,d004,Production
12694,Kazuhira,Luders,d004,Production
12697,Uri,Brizzi,d003,Human Resources
12709,Ronghao,Botman,d005,Development
12717,Tzu,Jiafu,d008,Research
12722,Elliott,Cheshire,d002,Finance
12726,Fumitake,Panwar,d005,Development
12729,Nahla,Rahier,d004,Production
12729,Nahla,Rahier,d009,Customer Service
12730,Barry,Perl,d005,Development
12731,Yongmao,Waymire,d003,Human Resources
12732,Mara,Takanami,d007,Sales
12734,Gil,Frijda,d005,Development
12755,Rildo,Rodite,d003,Human Resources
12759,LiMin,Kuszyk,d007,Sales
12773,Jenwei,Lovengreen,d005,Development
12775,Mariangiola,Berendt,d004,Production
12775,Mariangiola,Berendt,d009,Customer Service
12790,Gunilla,Perl,d007,Sales
12795,Masoud,Fordan,d002,Finance
12798,Lillian,Beeson,d007,Sales
12803,Gad,Boissier,d001,Marketing
12803,Gad,Boissier,d007,Sales
12815,Sushant,Junot,d008,Research
12816,Freyja,Ramras,d004,Production
12819,Mountaz,Gubsky,d004,Production
12846,Krisda,Cyne,d009,Customer Service
12848,Kazuhide,Smeets,d005,Development
12853,Mang,Brobst,d009,Customer Service
12863,Leif,Matheson,d004,Production
12872,Marl,Schmittgen,d007,Sales
12876,Apostol,Goodrum,d005,Development
12879,Baruch,Eugenio,d005,Development
12888,Martien,Erni,d008,Research
12890,Neven,Casley,d007,Sales
12893,Licheng,Crouzet,d007,Sales
12895,Roddy,Serot,d004,Production
12905,Munehiro,Gecsei,d005,Development
12922,Jacqueline,Porenta,d007,Sales
12926,Heekeun,Luby,d008,Research
12937,Arup,Cincotta,d001,Marketing
12940,Odinaldo,Farrar,d005,Development
12941,Tommaso,Perelgut,d005,Development
12949,Geoff,Asrin,d005,Development
12951,Mohammad,Keirsey,d001,Marketing
12951,Mohammad,Keirsey,d007,Sales
12972,Juyoung,Azevdeo,d003,Human Resources
12974,Gift,Frolund,d007,Sales
12977,Byong,Markovitch,d005,Development
12983,Elliott,Hambrick,d002,Finance
13012,Florina,Harbusch,d005,Development
13030,Yahiko,Kroll,d001,Marketing
13046,Vivian,Stafford,d002,Finance
13047,Atilio,Chelton,d005,Development
13049,Fan,Naudin,d008,Research
13062,Xinglin,Baak,d005,Development
13075,Rosella,Morrin,d001,Marketing
13075,Rosella,Morrin,d007,Sales
13076,Deniz,Skafidas,d005,Development
13096,Ibibia,Armand,d006,Quality Management
13103,Srinidhi,Ellozy,d005,Development
13113,Kwun,Landherr,d002,Finance
13124,Quingbo,Garnick,d007,Sales
13133,Guther,Senzako,d001,Marketing
13133,Guther,Senzako,d009,Customer Service
13134,Lorien,Chepyzhov,d004,Production
13144,Persi,Nollmann,d002,Finance
13146,Haldon,Erie,d007,Sales
13147,Shichao,Ginesta,d007,Sales
13156,Akeel,Millington,d005,Development
13165,Lucian,Benner,d006,Quality Management
13168,Munir,Stentiford,d004,Production
13170,Cheong,Bernardeschi,d002,Finance
13170,Cheong,Bernardeschi,d003,Human Resources
13171,Anoosh,Birnbaum,d006,Quality Management
13173,Arve,Horswill,d007,Sales
13179,Moty,Janocha,d007,Sales
13182,Kokou,Rodite,d004,Production
13186,Kyoichi,Barbanera,d007,Sales
13192,Rosita,Flowers,d004,Production
13192,Rosita,Flowers,d005,Development
13202,Aram,Scharstein,d008,Research
13210,Jianhua,Klassen,d001,Marketing
13210,Jianhua,Klassen,d007,Sales
13213,Hein,Billawala,d007,Sales
13221,Premsyl,Famili,d008,Research
13232,Mitchel,Fujisaki,d005,Development
13233,Alselm,Chvatal,d005,Development
13238,Ebru,Foote,d007,Sales
13240,King,Pileggi,d005,Development
13243,Fay,Huxford,d007,Sales
13250,Zeydy,Schusler,d004,Production
13272,Arun,Jiang,d009,Customer Service
13276,Yechiam,Seuren,d002,Finance
13288,Muneo,Broomell,d003,Human Resources
13291,Georg,Stamatiou,d005,Development
13299,Guiseppe,Butner,d001,Marketing
13302,Mack,Alencar,d005,Development
13305,Bikash,Herath,d007,Sales
13315,Sakthirel,Stroustrup,d005,Development
13332,Nidapan,Pearson,d004,Production
13333,Yoshinari,Hennebert,d004,Production
13333,Yoshinari,Hennebert,d005,Development
13341,Bodh,Doering,d001,Marketing
13343,Heon,Usery,d002,Finance
13343,Heon,Usery,d003,Human Resources
13368,Kiyokazu,Klassen,d003,Human Resources
13371,Nakhoon,Riexinger,d004,Production
13373,Juichirou,Naumovich,d002,Finance
13373,Juichirou,Naumovich,d003,Human Resources
13385,Claudi,Buchter,d003,Human Resources
13386,Khosrow,Sgarro,d005,Development
13389,Divine,Cmelik,d008,Research
13392,Fumitake,Beidas,d007,Sales
13396,Chuanyi,Aumann,d009,Customer Service
13402,Augustine,Dulli,d005,Development
13402,Augustine,Dulli,d008,Research
13405,Randy,Baba,d007,Sales
13407,Gio,Chenoweth,d004,Production
13408,Sreekrishna,Lagarias,d004,Production
13415,Nathalie,Speer,d006,Quality Management
13422,Vishwani,Gerlach,d004,Production
13422,Vishwani,Gerlach,d006,Quality Management
13442,Giordano,Miake,d003,Human Resources
13443,Mayuko,Puppo,d006,Quality Management
13445,Renee,Dehkordi,d004,Production
13451,Gretta,Weiland,d003,Human Resources
13457,Shooichi,Parfitt,d006,Quality Management
13458,Feipei,Nivat,d004,Production
13458,Feipei,Nivat,d009,Customer Service
13463,Theron,Berstel,d004,Production
13465,Sasan,Rehfuss,d004,Production
13493,Uinam,Jullig,d005,Development
13504,Parto,Mandell,d005,Development
13521,Jaewoo,Tasistro,d006,Quality Management
13524,Chaoyi,Porotnikoff,d007,Sales
13535,Arunas,Schlenzig,d004,Production
13546,Aimee,Brookner,d004,Production
13549,Matk,Koprowski,d005,Development
13552,Ingmar,Capobianchi,d008,Research
13560,Sibyl,Jeong,d005,Development
13576,Jungsoon,Engberts,d005,Development
13576,Jungsoon,Engberts,d008,Research
13578,Tadahiko,Christianini,d004,Production
13605,Dmitry,Encarnacion,d007,Sales
13621,Fei,Haddadi,d005,Development
13624,Zhigen,Yurek,d003,Human Resources
13629,Dzung,Trelles,d005,Development
13648,Zejun,Lamba,d004,Production
13651,Stamatina,Plesums,d005,Development
13653,Kristen,Iivonen,d003,Human Resources
13670,Moti,Takanami,d005,Development
13680,Denny,Speer,d007,Sales
13684,Elvia,Christ,d007,Sales
13685,Weicheng,Hockney,d005,Development
13697,Shuichi,Weedon,d005,Development
13698,Domenico,Mitchem,d006,Quality Management
13704,Vishu,Kumaresan,d004,Production
13721,Sugwoo,Delgrossi,d007,Sales
13727,Vitali,Merey,d003,Human Resources
13738,Bangqing,Mitchem,d005,Development
13747,Masaru,Capobianchi,d007,Sales
13766,Tremaine,Heemskerk,d009,Customer Service
13768,Sedat,Lovengreen,d009,Customer Service
13769,Yakichi,Trogemann,d007,Sales
13775,Arve,Maierhofer,d007,Sales
13786,Takushi,Berendt,d007,Sales
13787,Xiaobin,Sinicrope,d004,Production
13788,Takahira,Furedi,d004,Production
13792,Valery,Sury,d002,Finance
13795,Mayuri,Gewali,d004,Production
13796,Paloma,Thorelli,d005,Development
13801,Shih,Mayerwieser,d007,Sales
13809,Kiyotoshi,Basagni,d009,Customer Service
13815,Guadalupe,Plotkin,d004,Production
13825,Arlette,Pell,d004,Production
13841,Christophe,Spinelli,d004,Production
13841,Christophe,Spinelli,d006,Quality Management
13842,Juichirou,Cichocki,d008,Research
13846,Guiseppe,Welham,d008,Research
13853,Mingsen,Roohalamini,d008,Research
13859,Anoosh,Fujisawa,d005,Development
13883,Kwangyoen,Barreiro,d005,Development
13884,Kensei,Swift,d004,Production
13894,Ult,Schonegge,d004,Production
13904,Youngkon,Cairo,d005,Development
13914,Serge,Albarhamtoshy,d002,Finance
13916,Vidya,Wynblatt,d007,Sales
13930,Sukumar,Chartres,d007,Sales
13934,Shiv,Bratsberg,d005,Development
13942,Elzbieta,Esteva,d005,Development
13951,Mooi,Genther,d007,Sales
13960,Nechama,Hettesheimer,d002,Finance
13962,Maris,Ghelli,d004,Production
13966,Boguslaw,Cooman,d009,Customer Service
13969,Jianwen,Chandrasekhar,d005,Development
13979,Turgut,Highland,d004,Production
13986,Geraldo,Ramsey,d007,Sales
13990,Deborah,Schapiro,d005,Development
13992,Ulises,Kenevan,d002,Finance
13999,Florian,Crouzet,d003,Human Resources
14005,Vojin,Stellhorn,d005,Development
14005,Vojin,Stellhorn,d006,Quality Management
14015,Manibrata,Picaronny,d004,Production
14015,Manibrata,Picaronny,d006,Quality Management
14034,Aloys,Seghrouchni,d002,Finance
14041,Shan,DeMori,d001,Marketing
14045,Ymte,Alpin,d009,Customer Service
14067,Godehard,Trachtenberg,d004,Production
14088,Mori,Leslie,d008,Research
14102,Feixiong,Jording,d004,Production
14107,Xiahua,Rindone,d001,Marketing
14111,Leszek,Cummings,d009,Customer Service
14113,Along,Herber,d005,Development
14118,Kasturi,Anido,d009,Customer Service
14139,Sachin,Conry,d005,Development
14167,Adas,Hertweck,d004,Production
14191,Jiann,Luby,d005,Development
14197,Adin,Chachaty,d007,Sales
14209,Masanao,Kusakabe,d008,Research
14220,Tomofumi,Pargas,d004,Production
14224,Guther,Conta,d003,Human Resources
14232,Masali,Bojadziev,d005,Development
14236,Xuedong,Angiulli,d008,Research
14237,Abdulla,Gerlach,d004,Production
14237,Abdulla,Gerlach,d009,Customer Service
14242,Sudhanshu,Benaini,d009,Customer Service
14254,Chikara,Narahara,d004,Production
14257,Kwok,Massonet,d004,Production
14257,Kwok,Massonet,d009,Customer Service
14275,Tristan,Aseltine,d007,Sales
14287,Masali,Highland,d005,Development
14287,Masali,Highland,d009,Customer Service
14289,Paraskevi,Gist,d004,Production
14290,Miyeon,Olivero,d004,Production
14292,Susanna,Vigier,d008,Research
14293,Qunsheng,Middleton,d008,Research
14298,Chriss,Granlund,d004,Production
14310,Marlo,Leuchs,d007,Sales
14320,Sreenivas,Schaar,d004,Production
14322,Shem,Kakkad,d005,Development
14323,Golgen,Leslie,d004,Production
14323,Golgen,Leslie,d009,Customer Service
14340,Vitaly,Wixon,d004,Production
14344,Otilia,Buescher,d004,Production
14345,Barry,Ramsey,d005,Development
14354,Mong,Bojadziev,d007,Sales
14360,Janche,Erbe,d008,Research
14372,Saniya,Srimani,d005,Development
14372,Saniya,Srimani,d008,Research
14380,Shigeu,Heemskerk,d005,Development
14380,Shigeu,Heemskerk,d009,Customer Service
14384,Tomofumi,Holburn,d005,Development
14422,Toshimo,Gadepally,d004,Production
14434,Elvis,Maginnis,d005,Development
14439,Raimond,Woycyznski,d006,Quality Management
14441,Divine,Manders,d004,Production
14460,Yagil,Lueh,d004,Production
14478,Munehiro,Boissier,d007,Sales
14481,Moti,Lammel,d004,Production
14483,Supot,Marrevee,d005,Development
14486,Indrajit,Birdsall,d004,Production
14498,Xiong,Selenyi,d003,Human Resources
14501,Taizo,Kroft,d004,Production
14509,Danil,Aloia,d002,Finance
14513,Samphel,Barreiro,d001,Marketing
14513,Samphel,Barreiro,d007,Sales
14514,Fay,Denny,d005,Development
14515,Kazuhisa,Versino,d006,Quality Management
14516,Kristian,Underwood,d007,Sales
14518,Patricia,Peir,d004,Production
14522,Chuanyi,Ranta,d002,Finance
14533,Kensei,Borovoy,d005,Development
14537,Babette,Engelmann,d006,Quality Management
14539,Ashish,Danlos,d006,Quality Management
14552,Ibibia,Snyers,d005,Development
14556,Fatemeh,Zultner,d004,Production
14560,Elrique,Driscoll,d005,Development
14581,Gao,Condotta,d005,Development
14582,Kiyokazu,Morrin,d005,Development
14600,Jayson,Cairo,d009,Customer Service
14603,Lech,Marquardt,d005,Development
